people_id,people_age,gender
1,2,Male
2,3,Male
3,4,Male
4,5,Male
5,6,Male
6,7,Male
7,8,Male
8,9,Male
9,10,Male
10,11,Male
11,12,Male
12,13,Male
13,14,Male
14,15,Male
15,16,Male
16,17,Male
17,18,Male
18,19,Male
19,20,Male
20,21,Male
21,22,Male
22,23,Male
23,24,Male
24,25,Male
25,26,Male
26,27,Male
27,28,Male
28,29,Male
29,30,Male
30,31,Male
31,32,Male
32,33,Male
33,34,Male
34,35,Male
35,36,Male
36,37,Male
37,38,Male
38,39,Male
39,40,Male
40,41,Male
41,42,Male
42,43,Male
43,44,Male
44,45,Male
45,46,Male
46,47,Male
47,48,Male
48,49,Male
49,50,Male
50,51,Male
51,52,Male
52,53,Male
53,54,Male
54,55,Male
55,56,Male
56,57,Male
57,58,Male
58,59,Male
59,60,Male
60,61,Male
61,62,Male
62,63,Male
63,64,Male
64,65,Male
65,66,Male
66,67,Male
67,68,Male
68,69,Male
69,70,Male
70,71,Male
71,72,Male
72,73,Male
73,74,Male
74,75,Male
75,76,Male
76,77,Male
77,78,Male
78,79,Male
79,80,Male
80,81,Male
81,82,Male
82,83,Male
83,84,Male
84,85,Male
85,86,Male
86,87,Male
87,88,Male
88,89,Male
89,90,Male
90,91,Male
91,92,Male
92,93,Male
93,94,Male
94,95,Male
95,96,Male
96,97,Male
97,98,Male
98,99,Male
99,100,Male
100,2,Female
101,3,Female
102,4,Female
103,5,Female
104,6,Female
105,7,Female
106,8,Female
107,9,Female
108,10,Female
109,11,Female
110,12,Female
111,13,Female
112,14,Female
113,15,Female
114,16,Female
115,17,Female
116,18,Female
117,19,Female
118,20,Female
119,21,Female
120,22,Female
121,23,Female
122,24,Female
123,25,Female
124,26,Female
125,27,Female
126,28,Female
127,29,Female
128,30,Female
129,31,Female
130,32,Female
131,33,Female
132,34,Female
133,35,Female
134,36,Female
135,37,Female
136,38,Female
137,39,Female
138,40,Female
139,41,Female
140,42,Female
141,43,Female
142,44,Female
143,45,Female
144,46,Female
145,47,Female
146,48,Female
147,49,Female
148,50,Female
149,51,Female
150,52,Female
151,53,Female
152,54,Female
153,55,Female
154,56,Female
155,57,Female
156,58,Female
157,59,Female
158,60,Female
159,61,Female
160,62,Female
161,63,Female
162,64,Female
163,65,Female
164,66,Female
165,67,Female
166,68,Female
167,69,Female
168,70,Female
169,71,Female
170,72,Female
171,73,Female
172,74,Female
173,75,Female
174,76,Female
175,77,Female
176,78,Female
177,79,Female
178,80,Female
179,81,Female
180,82,Female
181,83,Female
182,84,Female
183,85,Female
184,86,Female
185,87,Female
186,88,Female
187,89,Female
188,90,Female
189,91,Female
190,92,Female
191,93,Female
192,94,Female
193,95,Female
194,96,Female
195,97,Female
196,98,Female
197,99,Female
198,100,Female
