food_id,food_measurement,measurement_unit,calories,protein,fat,fiber,carbs
1040,1,qt,660,32,40,0,48
1042,1,cup,127,9,5,0,13
1045,1,cup,515,27,28,0,39
1048,1,cup,165,8,10,0,11
1054,1,cup,300,6,18,0,29
1058,1,cup,240,30,11,0,6
1062,1,oz.,105,2,11,0,1
1067,2,individual,220,13,16,0,1
1068,2,individual,120,6,10,0,0
1069,1,T.,100,0,11,0,0
1075,1,T.,100,0,11,0,0
1076,1,T.,110,0,12,0,0
1077,1,T.,125,0,14,0,0
1078,1,T.,125,0,14,0,0
1080,1,T.,60,0,6,0,2
1081,1,T.,75,0,8,0,1
1083,2,Slices,95,4,8,0,1
1084,3,oz.,245,23,16,0,0
1085,3,oz.,245,21,17,0,0
1086,3,oz.,185,24,10,0,0
1087,3,oz.,390,16,36,0,0
1088,3,oz.,330,20,27,0,0
1095,3,oz.,185,23,9,0,0
1107,3,oz.,310,21,24,0,0
1112,3,oz.,87,12,1,0,2
1114,3,oz.,90,14,2,0,1
1115,5,individual,200,19,10,0,8
1120,1,individual,92,18,1,0,0
1124,3,oz.,120,17,5,0,0
1125,3,oz.,180,22,9,0,0
1128,3,oz.,110,23,1,0,0
1130,3,oz.,170,25,7,0,0
1133,1,cup,25,1,0,0.8,6
1145,1,cup,45,1,0,0.9,10
1153,1,individual,92,3,1,0.8,21
1162,1,cup,212,15,0,2.4,38
1168,1,individual,80,2,0,1.6,18
1172,1,cup,66,3,0,0.1,13
1180,1,individual,100,2,0,0.5,22
1195,1,cup,50,2,0,1,9
1200,1,cup,40,1,0,1.8,9
1211,1,individual,85,1,0,0.9,23
1213,1,cup,245,1,0,2,65
1215,1,cup,100,2,1,2,26
1238,1,cup,200,1,0,1,52
1243,1,individual,95,0,0,0.4,26
1250,1,cup,170,1,0,0.7,45
1255,1,cup,242,1,0,1.3,60
1257,1,individual,40,1,0,1,10
1258,1,individual,120,2,1,3.6,29
1267,1,cup,110,2,0,0.1,25
1276,1,cup,155,5,1,0.1,32
1280,1,cup,150,5,3,4.6,26
1283,1,individual,180,8,6,0,23
1287,1,cup,748,15,3,1.2,154
1290,1,cup,115,2,0,0.1,26
1297,1,cup,217,4,4,1.2,40
1299,1,individual,240,8,9,0.1,30
